2022-10-18 23:14:32,603 | INFO | autoreload | Watching for file changes with StatReloader
2022-10-18 23:14:49,207 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2022-10-18 23:14:50,386 | INFO | autoreload | Watching for file changes with StatReloader
2022-10-18 23:15:00,193 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2022-10-18 23:15:01,193 | INFO | autoreload | Watching for file changes with StatReloader
2022-10-18 23:17:51,671 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2022-10-18 23:17:53,332 | INFO | autoreload | Watching for file changes with StatReloader
2022-10-18 23:18:02,299 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2022-10-18 23:18:03,319 | INFO | autoreload | Watching for file changes with StatReloader
2022-10-18 23:29:40,286 | INFO | autoreload | Watching for file changes with StatReloader
2023-10-23 21:18:55,574 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 12:56:42,724 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:00:02,417 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:00:03,573 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:00:13,451 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:00:14,610 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:00:55,153 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:19:57,078 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:23:55,227 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:23:56,434 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:38:54,424 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:38:55,382 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:43:57,829 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:43:58,787 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 13:45:30,239 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 13:45:31,197 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:24:35,311 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:31:41,481 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 15:31:42,877 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:32:00,452 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 15:32:01,750 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:34:01,465 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 15:34:03,096 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:34:17,231 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 15:34:18,747 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:34:27,704 | INFO | autoreload | C:\Users\Димэн\Desktop\Python\code\module_D\models\newsportal\NewsPaper\NewsPaper\settings.py changed, reloading.
2023-11-08 15:34:28,861 | INFO | autoreload | Watching for file changes with StatReloader
2023-11-08 15:56:41,199 | INFO | autoreload | Watching for file changes with StatReloader
